Topic,Description,Tags,date,author
"Dove, white-winged","Excision of Right Knee Joint, Open Approach, Diagnostic",Laniaurius;atroco;ccineus,2/14/2022,Artemas Meneghelli
Lizard (unidentified),"Extirpation of Matter from R Metatarsophal Jt, Perc Approach",Phalacrocorax;niger,9/26/2021,Pooh Van Bruggen
"Lion, african","Revision of Infusion Device in L Carpal Jt, Open Approach",Paradoxurus;herma;phroditus,10/5/2021,Karlotta Baseke
"Grouse, greater sage","Supplement L Up Lobe Bronc w Nonaut Sub, Perc Endo",Parus;atricapillus,12/11/2021,Gillan Greve
"Rattlesnake, horned","Revision of Autol Sub in R Rib, Perc Endo Approach",Grus;rubicundus,2/18/2022,Suzy Giraudo
"Snake, tiger","Bypass Right Atrium to Left Atrium, Perc Endo Approach",Paradoxurus;herma;phroditus,11/22/2021,Kaitlin Jaine
Olive baboon,"Revision of External Fixation Device in Skull, Open Approach",Uraeginthus;granatina,5/14/2021,Thalia Shutle
Russian dragonfly,Immobilization of Right Lower Arm using Cast,Cygnus;buccinator,10/9/2021,Arnuad Geggie
Desert tortoise,"Revision of Nonaut Sub in R Sternoclav Jt, Open Approach",Anas;bahamensis,10/31/2021,Daffie Signorelli
"Sandgrouse, yellow-throated","Repair Right Hip Bursa and Ligament, Perc Endo Approach",Butorides;striatus,3/26/2022,Stafford Eberts
"Eland, common","Dilation of Right Vas Deferens, Open Approach",Taurotagus;oryx,7/4/2021,Madison Dovinson
Emerald-spotted wood dove,"Restrict L Axilla Lymph w Intralum Dev, Perc Endo",Turtur;chalcospilos,3/11/2022,Axel Mustill
"Seal, northern elephant","Revise VAD Reservoir in Up Extrem Subcu/Fascia, Extern",Mirounga;angustirostris,3/6/2022,Nerty Coulston
"Dove, emerald-spotted wood","Release Right Carpal Joint, Open Approach",Turtur;chalcospilos,3/13/2022,Em Boundy
Python (unidentified),"Release Nasal Septum, Percutaneous Endoscopic Approach",Taurotagus;oryx,11/6/2021,Celestia Gwillim
"White-eye, cape","Excision of Right Thorax Tendon, Percutaneous Approach",Zosterops;pallidus,11/29/2021,Powell Swine
Crimson-breasted shrike,"Bypass L Com Iliac Art to Low Ex Art w Autol Vn, Perc Endo",Laniaurius;atroco;ccineus,7/19/2021,Joni Presland
"Cormorant, javanese","Bypass Colic Vein to Low Vein w Nonaut Sub, Perc Endo",Phalacrocorax;niger,7/15/2021,Dukie Hirjak
Barasingha deer,"Removal of Nonaut Sub from L Metatarsotars Jt, Perc Approach",Cervus;duvauceli,11/26/2021,Josy Chatteris
Black-capped chickadee,"Repair Left Knee Joint, Open Approach",Parus;atricapillus,10/3/2021,Jilly Spencers
"Crane, brolga","Introduction of Anti-inflammatory into Nose, Via Opening",Grus;rubicundus,2/18/2022,Rochella Prior
"Civet, common palm","Insert Infusion Dev in R Finger Phalanx Jt, Perc Endo",Paradoxurus;herma;phroditus,5/13/2021,Bron Fisbburne
Purple grenadier,"Bypass L Face Vein to Up Vein with Autol Vn, Open Approach",Uraeginthus;granatina,10/5/2021,Aurora Fivey
"Swan, trumpeter","Extirpation of Matter from Coronary Vein, Perc Approach",Cygnus;buccinator,2/22/2022,Audie Yearron
White-cheeked pintail,"Dilate R Thyroid Art, Bifurc, w 3 Intralum Dev, Open",Anas;bahamensis,1/20/2022,Chery Bunnell
"Heron, green-backed","Restrict L Inqnl Lymph w Intralum Dev, Perc Endo",Butorides;striatus,2/14/2022,Fayina Rosenthaler
Black and white colobus,"Insertion of Stimulator Lead into Bladder, Via Opening",Colobus;guerza,9/13/2021,Kath Habershon
"Cockatoo, red-tailed","Supplement R Mid Lobe Bronc with Autol Sub, Open Approach",Calyptorhynchus;magnificus,2/21/2022,Cecilla Sidworth
Southern sea lion,"Bypass R Com Iliac Art to Abd Aorta w Nonaut Sub, Open",Otaria;flavescens,10/6/2021,Katey Powton
Purple moorhen,"Revision of Ext Fix in L Metatarsal, Extern Approach",Porphyrio;porphyrio,2/25/2022,Ricca Rhodus
African lion,Plain Radiography of Mult Cor Art using L Osm Contrast,Panthera;leo,5/4/2021,Carlyn Duer
Asian foreset tortoise,"Reposition R Fibula with Ring Ext Fix, Perc Endo Approach",Manouria;emys,4/10/2022,Sofie Gration
White-mantled colobus,"Excision of Pancreas, Open Approach, Diagnostic",Colobus;guerza,5/3/2021,Gayelord Josuweit
"Spoonbill, european","Replace Abd Skin w Autol Sub, Full Thick, Extern",Platalea;leucordia,10/18/2021,Pierson Chellam
Indian star tortoise,"Insert of Intralum Dev into L Less Saphenous, Open Approach",Geochelone;elegans,11/1/2021,Norman Hegarty
Marabou stork,"Drainage of Inferior Vena Cava with Drain Dev, Perc Approach",Leptoptilos;crumeniferus,5/1/2021,Celia Johannesson
"Squirrel, eurasian red","Occlusion of Right Middle Lobe Bronchus, Open Approach",Sciurus;vulgaris,2/22/2022,Ernestus Warder
Roseat flamingo,"Bypass R Kidney Pelvis to Ileocutan w Synth Sub, Perc Endo",Phoenicopterus;ruber,7/29/2021,Abbott Gilcriest
"Insect, stick","Drainage of Prepuce with Drainage Device, External Approach",Leprocaulinus;vipera,12/1/2021,Kendall Stitt
"Seal, southern elephant","Dilate L Verteb Art, Bifurc, w 4+ Intralum Dev, Perc Endo",Mirounga;leonina,3/7/2022,Arin Domoni
Hummingbird (unidentified),"Repair Left Upper Arm, Open Approach",unavailable,3/8/2022,Petrina Biggans
Mountain duck,"Removal of Autol Sub from R Acromioclav Jt, Open Approach",Hymenolaimus;malacorhynchus,8/10/2021,Sadye Gregan
"Dragon, asian water","Drainage of Right Conjunctiva, External Approach, Diagnostic",Physignathus;cocincinus,10/21/2021,Chaunce Huggens
Egyptian viper,"Removal of Ext Fix from L Metacarpal, Extern Approach",Naja;haje,6/14/2021,Guillermo Mynard
"Lizard, desert spiny","Destruction of Large Intestine, Endo",Sceloporus;magister,10/17/2021,Duff Haime
"Screamer, southern","Occlusion of L Post Tib Art with Intralum Dev, Perc Approach",Chauna;torquata,2/21/2022,Sanford Ben-Aharon
Australian brush turkey,"Extraction of Cerebral Meninges, Percutaneous Approach",Alectura;lathami,2/2/2022,Cathrin McKevany
Jungle cat,"Insert of Infusion Dev into Sup Mesent Vein, Perc Approach",Felis;chaus,12/10/2021,Ethe Codeman
"Owl, burrowing","Dilate R Post Tib Art, Bifurc, w 2 Intralum Dev, Open",Speotyte;cuniculata,2/2/2022,Mack Aimer
Frog (unidentified),"Occlusion of Right Ureter, Via Natural or Artificial Opening",Rana;sp.,12/12/2021,Saxon Dillintone
Snow goose,"Division of Left Ankle Tendon, Percutaneous Approach",Anser;caerulescens,12/8/2021,Claudine Dunstone
"Crab, red lava","Revision of Int Fix in L Humeral Shaft, Open Approach",Graspus;graspus,6/23/2021,Bryan Selesnick
Blue-footed booby,"Removal of Synthetic Substitute from Head, Open Approach",Sula;nebouxii,1/7/2022,Pier Moorfield
Swainson's francolin,"Bypass R Fem Art to Low Ex Vein w Nonaut Sub, Perc Endo",Francolinus;swainsonii,11/30/2021,Clint Batson
"Bear, sloth","Revision of Other Device in R Low Extrem, Perc Approach",Melursus;ursinus,12/25/2021,Lizzy Pepis
Mouflon,"Insert Intralum Dev in Thor Aorta Desc, Perc Endo",Ovis;musimon,4/14/2022,Marcel Gayden
Savannah deer (unidentified),"Supplement R Knee Bursa/Lig with Nonaut Sub, Open Approach",unavailable,4/12/2022,Guenna McKeowon
Vervet monkey,Planar Nucl Med Imag of R & L Heart using Technetium 99m,Cercopithecus;aethiops,11/21/2021,Charita Karpmann
Canada goose,"Dilation of Inf Mesent Art, Bifurc, Perc Endo Approach",Branta;canadensis,10/7/2021,Aurelea Gantley
"Stork, painted","Drainage of Left Knee Tendon, Perc Endo Approach",Mycteria;leucocephala,5/19/2021,Dorrie Hendrick
"Roadrunner, greater","Bypass L Com Iliac Art to R Int Ilia w Autol Vn, Perc Endo",Geococcyx;californianus,2/17/2022,Clarette MacDowal
"Skua, great","Revision of Int Fix in L Sternoclav Jt, Perc Endo Approach",Catharacta;skua,4/7/2022,Rea Minelli
"Chickadee, black-capped","Excision of Right Axillary Vein, Perc Endo Approach",Parus;atricapillus,6/6/2021,Padriac Blakeley
White-faced whistling duck,"Removal of Nonaut Sub from L Metatarsotars Jt, Perc Approach",Dendrocygna;viduata,10/25/2021,Jessy Hagstone
Bennett's wallaby,"Repair Left Rib, Open Approach",Macropus;rufogriseus,7/24/2021,Craig Screas
"Spoonbill, european","Transfer R Up Arm Muscle w Skin, Subcu, Perc Endo",Platalea;leucordia,11/11/2021,Ellwood Foley
Reindeer,"Inspection of Left Toe Phalangeal Joint, External Approach",Rangifer;tarandus,12/26/2021,Eldin Henrys
Large-eared bushbaby,"Excision of Left Innominate Vein, Percutaneous Approach",Galago;crassicaudataus,1/13/2022,Alwyn Clyne
Bird (unidentified),"Bypass R Com Iliac Art to Celiac Art w Nonaut Sub, Perc Endo",unavailable,1/27/2022,Kincaid Spofforth
"Jackal, golden","Supplement Left Nipple with Synth Sub, Extern Approach",Canis;aureus,7/5/2021,Kennedy Bentz
Eastern cottontail rabbit,Plain Radiography of Bilateral Temporomandibular Joints,Sylvilagus;floridanus,10/19/2021,Lynnell Sherrum
Red-billed tropic bird,"Eye, Restriction",Phaethon;aethereus,11/7/2021,Buffy Bozward
American Virginia opossum,"Dilation of L Colic Art with Drug-elut Intra, Open Approach",Didelphis;virginiana,5/24/2021,Celestia Marklow
"Sloth, two-toed tree","Drainage of Adenoids with Drainage Device, External Approach",Choloepus;hoffmani,1/18/2022,Nickie Boxill
"Tern, white-winged black","Introduce Analg/Hypnot/Sedat in Central Art, Open",Chlidonias;leucopterus,3/22/2022,Blondelle Deveral
"Badger, american","Insertion of Other Device into Pelvic Cavity, Open Approach",Taxidea;taxus,7/27/2021,Caresa Moyne
White-winged black tern,"Removal of Artificial Sphincter from Anus, Via Opening",Chlidonias;leucopterus,12/13/2021,Seana Jenks
Ring dove,"Replace of R Hip Jt, Femoral with Synth Sub, Open Approach",Columba;palumbus,2/4/2022,Siward Chaudret
Northern elephant seal,"Occlusion of Right Middle Lobe Bronchus, Perc Approach",Mirounga;angustirostris,3/7/2022,Alla Kennerknecht
Margay,"Release Pelvis Lymphatic, Open Approach",Felis;wiedi;or;Leopardus;weidi,6/9/2021,Jenni Nelmes
"Squirrel, thirteen-lined","Restrict R Mid Lobe Bronc w Extralum Dev, Perc",Spermophilus;tridecemlineatus,5/15/2021,Germaine Bonome
"Elephant, african","Excision of Cisterna Chyli, Open Approach",Loxodonta;africana,3/24/2022,Kass Borzone
"Cockatoo, red-breasted","Supplement Right Palatine Bone with Autol Sub, Perc Approach",Eolophus;roseicapillus,7/28/2021,Adah Ronaldson
"Wallaby, agile",Magnetic Resonance Imaging (MRI) of Whole Fetus,Macropus;agilis,12/29/2021,Berna Dabner
Red-knobbed coot,"Repair Bilateral Lungs, Percutaneous Endoscopic Approach",Fulica;cristata,5/12/2021,Donnie Rowland
"Rattlesnake, eastern diamondback","Introduce of BBBD Substance into Central Vein, Open Approach",Crotalus;adamanteus,9/9/2021,Emelyne Lanahan
Silver-backed jackal,"Occlusion R Sperm Cord w Extralum Dev, Perc Endo",Canis;mesomelas,10/15/2021,Kath Zienkiewicz
Springbuck,"Inspection of Lower Intestinal Tract, Open Approach",Antidorcas;marsupialis,3/3/2022,Jessie Edgecombe
"Eagle, white-bellied sea","Fusion Cerv Jt w Nonaut Sub, Post Appr P Col, Perc",Haliaetus;leucogaster,7/2/2021,Lottie Polglaze
American racer,"Occlusion of Esophagus, Percutaneous Approach",Coluber;constrictor,7/18/2021,Kyrstin O'Kennavain
"Squirrel, richardson's ground","Bypass R Vas Deferens to L Vas Def w Autol Sub, Open",Spermophilus;richardsonii,6/4/2021,Gertrude Chalker
"Lion, african","Occlusion of Left Kidney Pelvis with Intralum Dev, Endo",Panthera;leo,10/21/2021,Lorinda Silberschatz
Lesser double-collared sunbird,"Replacement of Bladder with Autol Sub, Via Opening",Nectarinia;chalybea,11/12/2021,Kurt Elintune
"Leopard, indian","Transfer R Up Arm Subcu/Fascia w Skin, Subcu, Open",Panthera;pardus,12/8/2021,Seana Carnow
Indian porcupine,"Destruction of Right Knee Tendon, Percutaneous Approach",Hystrix;indica,1/11/2022,Robby Espina
"Cockatoo, long-billed","Drainage of L Sternoclav Jt with Drain Dev, Open Approach",Cacatua;tenuirostris,11/30/2021,Westley Cabrera
"Marmot, yellow-bellied","Supplement Nasal Bone with Autol Sub, Perc Endo Approach",Marmota;flaviventris,10/1/2021,Janet Brand-Hardy
Eastern fox squirrel,"Revision of Extraluminal Device in Upper Vein, Perc Approach",Sciurus;niger,3/31/2022,Noella Naismith
